ID,Ref,Tidning,Hemisphere,Lat midpoint,Lat(abs),Lat range,exakt long,system,habitat,organisms,group,trophic position,dispersal type ,living type,log body size,parasites,method,Level,regression,N(loglog),Rztransfrom(loglog),Var rz(loglog),log c(loglog),Area(scala)loglog,log c(m2)(loglog),Slope z(loglog),zSE(loglog),zSEsq(loglog),log minAm2,log maxAm2,log meanAm2
222,de Vries et al 1996,Oecologia 107: 332-342,northern,52.5,52.5,,5,terrestrial,,ground beetles,insects,omnivores,flying,mobile,-0.351,no,independent,,log-log,32,0.235245578,0.034482759,32.407,ha,25.751,1.664,1.281,1.640961,3.474216264,7.232233521,6.115853382
223,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,34,34,,-119,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,8,1.093081259,0.2,0.967,km2,-0.245,0.202,0.062,0.003844,6.414973348,8.396199347,8.053270567
224,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,5,5,10,,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,50,1.398375486,0.021276596,1.932,km2,0.54,0.232,,,,,9.8846633
225,Matter et al 2002,"From Matter et al 2002, J of Biogeography 29: 977-983",,,,,,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,19,1.116150523,0.0625,0.482873584,okänd,,0.18,0.03,0.0009,,,
226,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,49.5,49.5,,-2.5,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,4,2.075646937,1,1.288,km2,0.178,0.185,0.034,0.001156,6.113943352,8.065579715,7.589279221
227,Dodson & Silva-Briano 1996,Hydrobiologia 325: 163-172,northern,21.5,21.5,1,-102,water,lakes,copepods,arthropods,omnivores,passive,plankton,-3.74,no,independent,,log-log,19,0.736457344,0.0625,0.478,m2,0.478,0.047,0.014,0.000196,1.079181246,7.075546961,5.947113863
228,Dodson & Silva-Briano 1996,Hydrobiologia 325: 163-172,northern,21.5,21.5,1,-102,water,lakes,cladocerans,arthropods,omnivores,passive,plankton,-3.74,no,independent,,log-log,19,0.457445576,0.0625,0.514,m2,0.514,0.056,0.029,0.000841,1.079181246,7.075546961,5.947113863
229,Dodson 1991,Verh Internat Verein Limnol 24: 1223-1229,northern,50.225,50.225,36.25,,water,lakes,crustacean zooplankton,zooplankton,omnivores,passive,plankton,-4.200659451,no,independent,,log-log,32,0.657953704,0.034482759,0.695,m2,0.695,0.051,0.013,0.000169,0.77815125,10.49831055,9.076987024
230,Dodson 1992,Limnol Oceanogr 37: 848-856,northern,,,,,water,lakes,crustacean zooplankton,zooplankton,omnivores,passive,plankton,-3.74,no,independent,,log-log,66,0.972955075,0.015873016,0.453,m2,0.453,0.094,,,0.602059991,10.91381385,
231,Dodson et al. 2000 A,Ecology 81: 2662-2679,,,,,,water,lakes,phytoplankton,nonvascular plants,autotrophs,passive,plankton,-8.22184875,no,independent,,log-log,21,0.03401311,0.055555556,1.988,km2,1.958,0.005,0.036,0.001296,3.698970004,8.828659897,7.982269294
232,Dodson et al. 2000 B,Ecology 81: 2662-2679,,,,,,water,lakes,aquatic vascular plants,plants,autotrophs,seeds,sessile,0.698970004,no,independent,,log-log,22,,,1.006,km2,-0.567,0.085,0.031,0.000961,3.698970004,8.828659897,7.839354615
233,Dodson et al. 2000 C,Ecology 81: 2662-2679,,,,,,water,lakes,rotifera,zooplankton,microbivores,passive,plankton,-5.301029996,no,independent,,log-log,27,0.538695667,0.041666667,1.158,km2,0.24,0.153,0.054,0.002916,3.698970004,8.828659897,7.852861925
234,Dodson et al. 2000 D,Ecology 81: 2662-2679,,,,,,water,lakes,Copepoda,arthropods,omnivores,passive,plankton,-4.22184875,no,independent,,log-log,33,0.260753317,0.033333333,0.687,km2,0.471,0.036,0.024,0.000576,3.698970004,8.828659897,7.794744631
235,Dodson et al. 2000 E,Ecology 81: 2662-2679,,,,,,water,lakes,Cladocera,arthropods,herbivores,passive,plankton,-4.301029996,no,independent,,log-log,33,0.44526613,0.033333333,0.784,km2,0.244,0.09,0.035,0.001225,3.698970004,8.828659897,7.794744631
236,Dodson et al. 2000 F,Ecology 81: 2662-2679,,,,,,water,lakes,fish,fish,omnivores,mobility,nekton,2.096910013,no,independent,,log-log,33,0.818036935,0.033333333,0.998,km2,-0.604,0.267,0.053,0.002809,3.698970004,8.828659897,7.794744631
237,Rosenzweig 1995,from Rosenzweig 1995,northern,,,,,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,,,log-log,9,,0.166666667,1.96,ha,1.176,0.196,,,,,8
238,Dony 1977,J Ecol 65: 475-484,northern,52,52,,0,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,1.342422681,m2,1.342422681,0.21,,,3.602059991,4.301029996,
239,Dony 1977,J Ecol 65: 475-484,northern,52,52,,0,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,1.054995862,m2,1.054995862,0.29,,,2,3.397940009,
240,Douglas & Lake 1994,Oikos 69: 387-396,southern,-37.48,37.48,,145.82,water,,bentic fauna,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,40,1.438069596,0.027027027,-0.974694135,cm2,2.165305865,0.785,,,-1.928117993,-1.059483515,
241,Douglas & Lake 1994,Oikos 69: 387-396,southern,-37.48,37.48,,145.82,water,streams,bentic fauna,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,50,1.33331608,0.021276596,-0.4867824,cm2,2.2452176,0.683,,,-2.346787486,-0.948847478,
242,Matter et al 2002,"From Matter et al 2002, J of Biogeography 29: 977-983",southern,-10,10,,143,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,23,1.209935121,0.05,0.675778342,okänd,,0.19,0.03,0.0009,,,
243,Dressler 1981,"The orchids, Harvard Univ Pr",northern,3,3,40,,terrestrial,,orchids,plants,autotrophs,seeds,sessile,0.698970004,no,independent,,log-log,10,0.382642354,0.142857143,2.015,km2,0.917,0.183,0.165,0.027225,10.70671778,12.29490691,11.86957784
244,Dueser & Brown 1980,Ecology 61: 50-56,northern,18,18,,-64.5,terrestrial,islands,rodents,mammals,herbivores,mobility,mobile,1.6866,no,independent,A2b,log-log,9,,,,ha,-2.098,0.383,0.096,0.009216,5.462397998,7.341830057,6.875639937
245,Dunn & Loehle 1988,J of Biogeography 15: 721-728,northern,43,43,,-86,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,15,0.077152721,0.083333333,1.647,ha,1.843,-0.049,0.175,0.030625,4.602059991,5.477121255,5.139879086
246,Dunn & Loehle 1988,J of Biogeography 15: 721-728,northern,43,43,,-86,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,33,0.040021354,0.033333333,1.609,ha,1.641,-0.008,0.034,0.001156,2.477121255,5.602059991,4.73051314
247,Durand 2000,Rev Ecol 55: 321-335,northern,45.5,45.5,,6,terrestrial,,helminths in chamois,helminths,parasites,transfer,parasite,,yes,,,log-log,8,0.410621192,0.2,1.065,km2,0.009,0.176,0.17,0.0289,7.419294722,8.066400476,7.806493706
248,Eadie 1986,Environmental Biology of Fishes 15: 81-89,northern,,,,,water,lakes,fishes,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,62,0.583217443,0.016949153,0.725,km2,-1.111,0.306,0.064,0.004096,4.477121255,7.075254901,6.056904851
249,Eadie 1986,Environmental Biology of Fishes 15: 81-89,northern,,,,,water,lakes,fishes,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,45,1.042821993,0.023809524,0.824,km2,-0.67,0.249,0.031,0.000961,4.934498451,7.961871767,6.749736316
250,Eadie 1986,Environmental Biology of Fishes 15: 81-89,northern,,,,,water,lakes,fishes,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,22,1.380217668,0.052631579,0.491,km2,-1.231,0.287,0.035,0.001225,6.816506437,10.86041881,9.562454297
251,Eadie 1986,Environmental Biology of Fishes 15: 81-89,northern,,,,,water,lakes,fishes,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,13,2.598746003,0.1,0.798,km2,-0.804,0.267,0.012,0.000144,3,10.79965285,9.922763438
252,Eadie 1986,Environmental Biology of Fishes 15: 81-89,northern,,,,,water,streams,fishes,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,21,0.842251946,0.055555556,1.359,km2,-0.045,0.234,0.057,0.003249,5.649334859,7.188844147,6.673113104
253,Eckmann 1995,Ecology of Freshwater Fish 4: 62-69,northern,53.4,53.4,,13.5,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,16,1.482846882,0.076923077,1.028,km2,0.176,0.142,0.018,0.000324,4.477121255,7.021189299,6.351095422
254,Eggeling 1947,J Ecol 34: 20-87,northern,2,2,,32,terrestrial,forest,trees larger than 10 cm in diameter,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,3.584439906,1,1.1242281,ha,-2.0981447,0.8055932,0.03164,0.00100109,3.57065967,4.172719661,
255,Eggeling 1947,J Ecol 34: 20-87,northern,2,2,,32,terrestrial,forest,trees larger than 10 cm in diameter,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,2.714527025,1,1.4399652,ha,-1.4014856,0.7103627,0.066834,0.004466784,3.57065967,4.172719661,
256,Eggeling 1947,J Ecol 34: 20-87,northern,2,2,,32,terrestrial,forest,trees larger than 10 cm in diameter,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,2.798002666,1,1.7407143,ha,-2.3176473,1.0145904,0.087752,0.007700414,3.57065967,4.172719661,
257,Eggeling 1947,J Ecol 34: 20-87,northern,2,2,,32,terrestrial,forest,trees larger than 10 cm in diameter,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,2.466117863,1,1.6276088,ha,-1.4626976,0.7725766,0.09345,0.008732903,3.57065967,4.172719661,
258,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,73,73,0.1,,water,lakes,infauna,zoobenthos,omnivores,mobility,mobile,-1.584,no,,,log-log,20,2.598746003,0.058823529,1.78,km2,-0.638,0.403,,,,,
259,Evans et al 1955,Ecology 36: 342-343,northern,42.5,42.5,,-83.9,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,15,1.534975485,0.083333333,1.3132231,yard2,1.329940171,0.2150728,0.026956,0.000726626,1.320212443,2.223302425,1.649271161
260,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,1.88,1.88,3.75,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,4,3.453377389,1,1.578,km2,-0.81,0.398,,,,,8.923239354
261,Fattorini 2002,Journal of Biogeography 29: 49-67,northern,32.85,32.85,15.12,26.37,terrestrial,islands,tenebrionid beetles,insects,herbivores,flying,mobile,-2.301029996,no,independent,A2b,log-log,32,0.6797098,0.034482759,0.5383579,km2,-0.9725927,0.2518251,0.062701,0.003931415,6.579783597,9.916980047,14.80261338
262,Fine 2001,Evol Ecol Res 3: 413–428,northern,,,,,terrestrial,forest,trees,plants,autotrophs,seeds,sessile,4.64,no,independent,,log-log,16,0.31171886,0.076923077,8.599,km2,16.021,-1.237,1.043,1.087849,11.34242268,11.59123495,11.48356341
263,Frank & Shackell 2001,Can J Fish Aquat Sci 58: 1703-1707,northern,43,43,,-63,water,marine,finfish,fish,omnivores,mobility,nekton,2.426,no,independent ,,log-log,10,1.47221949,0.142857143,0.996511672,km2,-0.053488328,0.175,,,8.698970004,10,
264,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,49.5,49.5,,-2.5,terrestrial,islands,amphibians,amphibians,omnivores,mobility,mobile,1.0599,no,independent,A2b,log-log,5,1.285714431,0.5,0.047,km2,-1.315,0.227,0.078,0.006084,6.113943352,8.065579715,7.589279221
265,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,49.5,49.5,,-2.5,terrestrial,islands,reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,A2b,log-log,5,0.966132911,0.5,0.088,km2,-1.346,0.239,0.123,0.015129,6.113943352,8.065579715,7.589279221
266,Friday 1987,Freshwater Biology 18: 87-104,northern,50.5,50.5,,-2.5,water,lakes,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,16,0.329420529,0.076923077,1.729,ha,1.337,0.098,0.078,0.006084,2.361727836,4.301029996,3.619093331
267,Friday 1987,Freshwater Biology 18: 87-104,northern,50.5,50.5,,-2.5,water,lakes,macrophytes,plants,autotrophs,seeds,sessile,0.698970004,no,independent,,log-log,16,0.22260549,0.076923077,0.795,ha,1.151,-0.089,0.106,0.011236,2.361727836,4.301029996,3.619093331
268,Gardner 1986,J of Biogeography 13: 237-253,southern,-7,7,6,,terrestrial,non-forest,lizards,reptiles,carnivores,mobility,mobile,1.528,no,independent,,log-log,35,0.924458942,0.03125,0.425,ha,-0.251,0.169,0.028,0.000784,3.625209525,8.182580934,6.8389613
269,Gardner 1986,J of Biogeography 13: 237-253,southern,-7,7,6,,terrestrial,islands,lizards,reptiles,carnivores,mobility,mobile,1.528,no,independent,A2b,log-log,20,0.475957159,0.058823529,0.115,ha,-0.341,0.114,0.055,0.003025,5.417853505,8.17505629,7.009208184
278,Geldenhuys 1997,Bothalia 27:57-74,southern,-34,34,,23.5,terrestrial,forest,total plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,23,0.794587501,0.05,1.306,ha,0.218,0.272,0.067,0.004489,4.301029996,6.176091259,5.523069793
279,Geldenhuys 1997,Bothalia 27:57-74,southern,-34,34,,23.5,terrestrial,forest,trees & shrubs,plants,autotrophs,seeds,sessile,4.64,no,independent,,log-log,23,0.75648181,0.05,0.961,ha,-0.291,0.313,0.082,0.006724,4.301029996,6.176091259,5.523069793
280,Geldenhuys 1997,Bothalia 27:57-74,southern,-34,34,,23.5,terrestrial,forest,ferns,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,23,0.244774113,0.05,0.757,ha,0.337,0.105,0.093,0.008649,4.301029996,6.176091259,5.523069793
281,Geldenhuys 1997,Bothalia 27:57-74,southern,-34,34,,23.5,terrestrial,forest,lianes & vines,plants,autotrophs,seeds,sessile,4.338970004,no,independent,,log-log,23,0.920216883,0.05,0.028,ha,-1.9,0.482,0.1,0.01,4.301029996,6.176091259,5.523069793
282,Geldenhuys 1997,Bothalia 27:57-74,southern,-34,34,,23.5,terrestrial,forest,geophytes & graminoids,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,23,0.40122894,0.05,0.402,ha,-0.37,0.193,0.102,0.010404,4.301029996,6.176091259,5.523069793
283,Geldenhuys 1997,Bothalia 27:57-74,southern,-34,34,,23.5,terrestrial,forest,forbs & soft shrubs,plants,autotrophs,seeds,sessile,,no,independent,,log-log,23,0.699420789,0.05,0.146,ha,-1.318,0.366,0.105,0.011025,4.301029996,6.176091259,5.523069793
284,Geyang (Zhu) et al 1986,Acta Zoologica Sinica 32: 74-85,northern,30.21,30.21,1.28,122.4,terrestrial,islands,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,A2b,log-log,5,2.028697888,0.5,0.326,km2,-1.438,0.294,0.045,0.002025,5.397940009,8.719331287,8.034668556
285,Geyang (Zhu) et al 1986,Acta Zoologica Sinica 32: 74-85,northern,30.21,30.21,1.28,122.4,terrestrial,islands,Birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,5,0.346198637,0.5,1.281,km2,0.885,0.066,0.108,0.011664,5.397940009,8.719331287,8.034668556
286,Glaser 1992,J Ecol 80: 535-554,northern,,,,,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,64,0.271813119,0.016393443,1.385007,km2,1.612,-0.04778,0.022052,0.000486291,5,8.394626764,7.25352439
287,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,21,21,22,,terrestrial,islands,palms,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,23,1.013000009,0.05,-0.478,km2,-2.752,0.379,,,,,10.01097674
288,Gonzalez 2000,Ecol Lett 3: 441-448,,,,,,terrestrial,non-forest,arthropods,insects,omnivores,flying,mobile,-2.301029996,no,,,log-log,8,1.098612289,0.2,1.05,cm2,1.81,0.19,0.07,0.0049,-2.698970004,-1.698970004,-1.958607315
289,Gonzalez 2000,Ecol Lett 3: 441-448,,,,,,terrestrial,non-forest,arthropods,insects,omnivores,flying,mobile,-2.301029996,no,,,log-log,8,1.031718534,0.2,0.97,cm2,1.69,0.18,0.07,0.0049,-2.698970004,-1.698970004,-1.958607315
290,Gonzalez 2000,Ecol Lett 3: 441-448,,,,,,terrestrial,non-forest,arthropods,insects,omnivores,flying,mobile,-2.301029996,no,,,log-log,8,0.881373587,0.2,0.98,cm2,1.74,0.19,0.07,0.0049,-2.698970004,-1.698970004,-1.958607315
291,Gonzalez 2000,Ecol Lett 3: 441-448,,,,,,terrestrial,non-forest,arthropods,insects,omnivores,flying,mobile,-2.301029996,no,,,log-log,8,0.867300528,0.2,0.64,cm2,1.72,0.27,0.07,0.0049,-2.698970004,-1.698970004,-1.958607315
292,Gonzalez 2000,Ecol Lett 3: 441-448,,,,,,terrestrial,non-forest,arthropods,insects,omnivores,flying,mobile,-2.301029996,no,,,log-log,8,0.839540228,0.2,0.77,cm2,1.89,0.28,0.07,0.0049,-2.698970004,-1.698970004,-1.958607315
293,Gotelli & Ellison 2002,Ecology 83: 1604-1609,northern,43.475,43.475,2.95,-71.5,terrestrial,forest,ants,insects,omnivores,flying,mobile,-2.39794,no,independent,,log-log,44,0.127689479,0.024390244,0.715,km2,0.925,-0.035,0.043,0.001849,2.394451681,5.937001045,5.159951993
294,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,22,22,,-107,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,4,1.281936466,1,1.033,km2,-0.581,0.269,0.114,0.012996,6.944482672,8.161368002,7.813747736
295,Gray 1994,MEPS 112: 205-209,northern,,,,,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,,,log-log,5,1.091606904,0.5,1.84069078,m2,1.84069078,0.45897967,,,0.653212514,1.301029996,0.936721963
296,Gray 2001,Polar Biol 24: 633-641,,,,,,water,marine,marine benthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,6,0.367458816,0.333333333,2.4300189,m2,2.4300189,0.1738946,0.231375,0.053534391,1.017033339,1.875061263,1.455859567
297,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,8.25,8.25,6.5,,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,26,1.107001747,0.043478261,0.906,km2,-0.72,0.271,,,,,9.149654421
298,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,53.6,53.6,2.6,,terrestrial,islands,spiders,arthropods,carnivores,mobility,mobile,-2.301029996,no,independent,,log-log,9,0.043026532,0.166666667,0.512,km2,0.338,0.029,,,,,9.461912215
299,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,49.3,49.3,8.6,,terrestrial,islands,insects,insects,omnivores,flying,flying,-2.301,no,independent,,log-log,6,0.121595763,0.333333333,1.43,km2,1.214,0.036,,,,,9.146386364
300,Grez 1992,Revista Chilena de Historia Natural 65: 115-120,southern,-33.5,33.5,,-70.9,terrestrial,non-forest,herbivorous insects,insects,herbivores,flying,flying,-2.3979,no,experiment,,log-log,30,0.202732554,0.037037037,,m2,,0.03,,,0.602059991,2.352182518,
301,Grez 1992,Revista Chilena de Historia Natural 65: 115-120,southern,-33.5,33.5,,-70.9,terrestrial,non-forest,herbivorous insects,insects,herbivores,flying,flying,-2.3979,no,experiment,,log-log,30,0.719244967,0.037037037,,m2,,0.17,,,0.602059991,2.352182518,
302,Grez 1992,Revista Chilena de Historia Natural 65: 115-120,southern,-33.5,33.5,,-70.9,terrestrial,non-forest,herbivorous insects,insects,herbivores,flying,flying,-2.3979,no,experiment,,log-log,30,1.064554504,0.037037037,,m2,,0.17,,,0.602059991,2.352182518,
303,Grez 1992,Revista Chilena de Historia Natural 65: 115-120,southern,-33.5,33.5,,-70.9,terrestrial,non-forest,herbivorous insects,insects,herbivores,flying,flying,-2.3979,no,experiment,,log-log,30,0.881373587,0.037037037,,m2,,0.2,,,0.602059991,2.352182518,
304,Grez 1992,Revista Chilena de Historia Natural 65: 115-120,southern,-33.5,33.5,,-70.9,terrestrial,non-forest,herbivorous insects,insects,herbivores,flying,flying,-2.3979,no,experiment,,log-log,30,0.924482322,0.037037037,,m2,,0.24,,,0.602059991,2.352182518,
305,Grez 1992,Revista Chilena de Historia Natural 65: 115-120,southern,-33.5,33.5,,-70.9,terrestrial,non-forest,herbivorous insects,insects,herbivores,flying,flying,-2.3979,no,experiment,,log-log,30,1.015712827,0.037037037,,m2,,0.24,,,0.602059991,2.352182518,
306,Grez 1992,Revista Chilena de Historia Natural 65: 115-120,southern,-33.5,33.5,,-70.9,terrestrial,non-forest,herbivorous insects,insects,herbivores,flying,flying,-2.3979,no,experiment,,log-log,30,0.825834523,0.037037037,,m2,,0.29,,,0.602059991,2.352182518,
307,Griffiths 1997,J Anim Ecol 66: 49-56,northern,,,,,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,,,log-log,192,1.098612289,0.005291005,,km2,,0.168,,,6.176091259,11,7
308,Griffiths 1997,J Anim Ecol 66: 49-56,northern,,,,,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,,,log-log,456,0.924482322,0.002207506,,km2,,0.274,,,4,6.176091259,6.13
309,Haila 1981,Holarctic Ecology 4: 174-183,northern,60,60,,20,terrestrial,islands,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,13,1.602206381,0.1,0.693,ha,-0.655,0.337,0.043,0.001849,3.698970004,8.986771734,7.889646871
310,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,55,55,35,,terrestrial,,mammals,mammals,omnivores,mobility,mobile,2.8619,no,nested,,log-log,35,0.775298706,0.03125,-1.438,km2,-4.996,0.593,,,,,11.63475851
311,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,22.5,22.5,30,,terrestrial,,mammals,mammals,omnivores,mobility,mobile,2.8619,no,nested,,log-log,30,0.587367992,0.037037037,1.899,km2,1.539,0.06,,,,,11.3020874
312,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,55,55,35,,terrestrial,,quadupeds,vertebrates,omnivores,mobility,mobile,2.903089987,no,nested,,log-log,35,0.778769737,0.03125,-1.225,km2,-4.513,0.548,,,,,11.63475851
313,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,22.5,22.5,30,,terrestrial,,quadupeds,vertebrates,omnivores,mobility,mobile,2.903089987,no,nested,,log-log,30,1.231452076,0.037037037,1.013,km2,-0.187,0.2,,,,,11.3020874
314,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,55,55,35,,terrestrial,,bats,mammals,omnivores,flying,flying,1.113943352,no,nested,,log-log,35,0.609819461,0.03125,-4.402,km2,-9.952,0.925,,,,,11.63475851
315,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,22.5,22.5,30,,terrestrial,,bats,mammals,omnivores,flying,flying,1.113943352,no,nested,,log-log,30,0.911810286,0.037037037,2.896,km2,4.312,-0.236,,,,,11.3020874
316,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,2.13,2.13,4.25,,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,5,1.782842035,0.5,0.371,km2,-2.629,0.5,,,,,8.879631389
317,Matter et al 2002,"From Matter et al 2002, J of Biogeography 29: 977-983",northern,62.7,62.7,,31.4,terrestrial,islands,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,A2b,log-log,17,0.954069476,0.071428571,0.264817823,okänd,,0.35,0.08,0.0064,,,
318,Harcourt et al 2001,Biodiversity and Conservation 10: 1011-1026,,,,,,terrestrial,,large carnivores,mammals,carnivores,mobility,mobile,5,no,independent ,,log-log,23,0.792432462,0.05,0.71075,km2,1.86155,-0.1918,0.050116,0.002511613,7.812913357,10.34602028,9.400315913
319,Harner & Harper 1976,Ecology 57: 1254-1263,northern,37,37,,,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,10,1.834486448,0.142857143,0.95,m2,0.95,0.16,,,0,4,
320,Harner & Harper 1976,Ecology 57: 1254-1263,northern,39,39,,,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,20,2.043170148,0.058823529,0.95,m2,0.95,0.21,,,0,4,
321,Harris & Wallace 1984,Proc Annu Conf SEAFWA 38: 87-96,northern,30,30,,-82,terrestrial,forest,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,12,1.197857718,0.111111111,1.022,ha,-0.026,0.262,0.055,0.003025,3.602059991,5.477121255,4.844042042
322,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,1,1,2,,terrestrial,islands,passeriformes,birds,omnivores,flying,flying,2.0153,no,independent,,log-log,15,1.26706432,0.083333333,0.87,km2,-0.072,0.157,,,,,8.71710272
323,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,3,3,2,,terrestrial,islands,bats,mammals,omnivores,flying,flying,1.113943352,no,independent,,log-log,5,1.582555171,0.5,0.36,km2,-1.962,0.387,,,,,7.550020331
324,Harte & Kinzig 1997,Oikos 80: 417-427,northern,,,,,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,,,log-log,48,0.508840884,0.022222222,,okänd,,0.13,,,,,11.29648237
325,Hattori & Ishida 2000,Japanese Journal of Ecology 50: 221-234,northern,32,32,,131,terrestrial,forest,lucidophyllous forest,plants,autotrophs,seeds,sessile,4.64,no,independent,,log-log,38,1.521737659,0.028571429,1.157,m2,1.157,0.202,0.015,0.000225,1.477121255,4.894316063,3.668998622
326,Have 1993,Oikos 66: 493-500,northern,56,56,,10,water,,freshwater ciliates,zooplankton,omnivores,passive,plankton,,no,independent,,log-log,142.5,2.43884032,0.007168459,-0.193820026,cm2,0.446179974,0.16,,,-3.301029996,-2.22184875,-2.602059991
327,Hawkins & Hartnoll 1980,Estuarine and Coastal Marine Science 10: 201-214,northern,54.3,54.3,,-4.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,25,2.249399529,0.045454545,-0.024,cm2,1.42,0.361,0.016,0.000256,-1.204119983,0.193820026,-0.09017663
328,Hawkins & Hartnoll 1980,Estuarine and Coastal Marine Science 10: 201-214,northern,54.3,54.3,,-4.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,25,1.897233608,0.045454545,0.737,cm2,1.753,0.254,0.016,0.000256,-1.204119983,0.193820026,-0.09017663
329,Hawkins & Hartnoll 1980,Estuarine and Coastal Marine Science 10: 201-214,northern,54.3,54.3,,-4.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,25,2.205388024,0.045454545,-0.499,cm2,1.629,0.532,0.025,0.000625,-1.204119983,0.193820026,-0.09017663
